"","x"
"1.538462%",0.0589274358974359
"3.076923%",0.0857841025641025
"4.615385%",0.116377179487179
"6.153846%",0.139944358974359
"7.692308%",0.162629487179487
"9.230769%",0.183492051282051
"10.76923%",0.20183
"12.30769%",0.222622051282052
"13.84615%",0.237866666666667
"15.38462%",0.252458974358975
"16.92308%",0.268056666666667
"18.46154%",0.285716666666667
"20%",0.299483333333333
"21.53846%",0.314874871794872
"23.07692%",0.330642307692308
"24.61538%",0.349953076923077
"26.15385%",0.367336153846154
"27.69231%",0.38499641025641
"29.23077%",0.403205384615385
"30.76923%",0.421970512820513
"32.30769%",0.440195641025641
"33.84615%",0.461857692307692
"35.38462%",0.479761282051282
"36.92308%",0.50298358974359
"38.46154%",0.521282051282051
"40%",0.542136666666667
"41.53846%",0.560056923076923
"43.07692%",0.588010769230769
"44.61538%",0.614522564102564
"46.15385%",0.639598717948718
"47.69231%",0.668506153846154
"49.23077%",0.697181025641026
"50.76923%",0.725760512820513
"52.30769%",0.752681794871795
"53.84615%",0.782887179487179
"55.38462%",0.818411282051282
"56.92308%",0.854685641025641
"58.46154%",0.892327435897436
"60%",0.930473333333333
"61.53846%",0.974979487179488
"63.07692%",1.02104615384615
"64.61538%",1.06554692307692
"66.15385%",1.11029358974359
"67.69231%",1.16773384615385
"69.23077%",1.21516794871795
"70.76923%",1.27349
"72.30769%",1.34013205128206
"73.84615%",1.4090658974359
"75.38462%",1.47773974358974
"76.92308%",1.5643358974359
"78.46154%",1.63322974358975
"80%",1.71072
"81.53846%",1.79736538461538
"83.07692%",1.89250102564102
"84.61538%",1.99769871794872
"86.15385%",2.13073282051282
"87.69231%",2.28920153846154
"89.23077%",2.45472230769231
"90.76923%",2.68116641025641
"92.30769%",2.92094230769231
"93.84615%",3.24508794871795
"95.38462%",3.64764179487179
"96.92308%",4.21134820512821
"98.46154%",5.16251538461539
"",31.02975
